row,source_protein,target_protein,source_ensg,target_ensg,source_symbol,target_symbol
0,P0DP23,Q13507,ENSG00000198668,ENSG00000138741,CALM1,TRPC3
1,P46531,Q9Y219,ENSG00000148400,ENSG00000184916,NOTCH1,JAG2
2,Q9Y219,P46531,ENSG00000184916,ENSG00000148400,JAG2,NOTCH1
3,O00548,P46531,ENSG00000275555,ENSG00000148400,DLL1,NOTCH1
4,O00548,P46531,ENSG00000198719,ENSG00000148400,DLL1,NOTCH1
5,P05019,P08069,ENSG00000017427,ENSG00000140443,IGF1,IGF1R
6,P46531,P78504,ENSG00000148400,ENSG00000101384,NOTCH1,JAG1
7,P78504,P46531,ENSG00000101384,ENSG00000148400,JAG1,NOTCH1
8,P01135,P04626,ENSG00000163235,ENSG00000141736,TGFA,ERBB2
9,Q96HF1,P56705,ENSG00000145423,ENSG00000162552,SFRP2,WNT4
10,Q8N474,P56705,ENSG00000104332,ENSG00000162552,SFRP1,WNT4
11,Q96HF1,P04628,ENSG00000145423,ENSG00000125084,SFRP2,WNT1
12,Q8N474,P09544,ENSG00000104332,ENSG00000105989,SFRP1,WNT2
13,Q8N474,P04628,ENSG00000104332,ENSG00000125084,SFRP1,WNT1
14,P41221,Q14332,ENSG00000114251,ENSG00000180340,WNT5A,FZD2
15,Q9GZX6,Q08334,ENSG00000127318,ENSG00000243646,IL22,IL10RB
16,P01588,P19235,ENSG00000130427,ENSG00000187266,EPO,EPOR
17,Q9H2A7,O00574,ENSG00000161921,ENSG00000172215,CXCL16,CXCR6
18,P16619,P51681,ENSG00000277336,ENSG00000160791,CCL3L3,CCR5
19,P16619,P51681,ENSG00000277768,ENSG00000160791,CCL3L3,CCR5
20,P16619,P51681,ENSG00000276085,ENSG00000160791,CCL3L3,CCR5
21,P16619,P51681,ENSG00000293545,ENSG00000160791,CCL3L3,CCR5
22,P50591,O14798,ENSG00000121858,ENSG00000173535,TNFSF10,TNFRSF10C
23,P22301,Q13651,ENSG00000136634,ENSG00000110324,IL10,IL10RA
24,P01579,P15260,ENSG00000111537,ENSG00000027697,IFNG,IFNGR1
25,P01344,P11717,ENSG00000167244,ENSG00000197081,IGF2,IGF2R
26,P49771,P36888,ENSG00000090554,ENSG00000122025,FLT3LG,FLT3
27,P21583,P10721,ENSG00000049130,ENSG00000157404,KITLG,KIT
28,P01344,P08069,ENSG00000167244,ENSG00000140443,IGF2,IGF1R
29,Q07325,P49682,ENSG00000138755,ENSG00000186810,CXCL9,CXCR3
30,P13501,P51681,ENSG00000274233,ENSG00000160791,CCL5,CCR5
31,P13501,P51681,ENSG00000271503,ENSG00000160791,CCL5,CCR5
32,P80075,P51681,ENSG00000108700,ENSG00000160791,CCL8,CCR5
33,P13236,P51681,ENSG00000275302,ENSG00000160791,CCL4,CCR5
34,P13236,P51681,ENSG00000277943,ENSG00000160791,CCL4,CCR5
35,P13236,P51681,ENSG00000275824,ENSG00000160791,CCL4,CCR5
36,P05231,P40189,ENSG00000136244,ENSG00000134352,IL6,IL6ST
37,P00533,P01133,ENSG00000146648,ENSG00000138798,EGFR,EGF
38,P01133,P00533,ENSG00000138798,ENSG00000146648,EGF,EGFR
39,P01583,P14778,ENSG00000115008,ENSG00000115594,IL1A,IL1R1
40,O94907,O75581,ENSG00000107984,ENSG00000070018,DKK1,LRP6
41,O94907,O75581,ENSG00000107984,ENSG00000281324,DKK1,LRP6
42,O94907,O75197,ENSG00000107984,ENSG00000162337,DKK1,LRP5
43,P41221,Q13467,ENSG00000114251,ENSG00000163251,WNT5A,FZD5
44,P04899,P48039,ENSG00000114353,ENSG00000168412,GNAI2,MTNR1A
45,P48039,P04899,ENSG00000168412,ENSG00000114353,MTNR1A,GNAI2
46,P10747,P42081,ENSG00000178562,ENSG00000114013,CD28,CD86
47,P42081,P10747,ENSG00000114013,ENSG00000178562,CD86,CD28
48,P10747,P33681,ENSG00000178562,ENSG00000121594,CD28,CD80
49,P33681,P10747,ENSG00000121594,ENSG00000178562,CD80,CD28
50,P04083,P25090,ENSG00000135046,ENSG00000171049,ANXA1,FPR2
51,P25090,P04083,ENSG00000171049,ENSG00000135046,FPR2,ANXA1
52,O43557,P36941,ENSG00000125735,ENSG00000111321,TNFSF14,LTBR
53,P29965,P25942,ENSG00000102245,ENSG00000101017,CD40LG,CD40
54,P01374,P19438,ENSG00000231408,ENSG00000067182,LTA,TNFRSF1A
55,P01374,P19438,ENSG00000230279,ENSG00000067182,LTA,TNFRSF1A
56,P01374,P19438,ENSG00000226979,ENSG00000067182,LTA,TNFRSF1A
57,Q06643,P36941,ENSG00000204487,ENSG00000111321,LTB,LTBR
58,Q06643,P36941,ENSG00000236925,ENSG00000111321,LTB,LTBR
59,Q06643,P36941,ENSG00000231314,ENSG00000111321,LTB,LTBR
60,Q06643,P36941,ENSG00000206437,ENSG00000111321,LTB,LTBR
61,Q06643,P36941,ENSG00000223448,ENSG00000111321,LTB,LTBR
62,Q06643,P36941,ENSG00000227507,ENSG00000111321,LTB,LTBR
63,Q06643,P36941,ENSG00000238114,ENSG00000111321,LTB,LTBR
64,Q06643,P36941,ENSG00000236237,ENSG00000111321,LTB,LTBR
65,Q02297,P04626,ENSG00000157168,ENSG00000141736,NRG1,ERBB2
66,Q00604,Q9ULV1,ENSG00000124479,ENSG00000174804,NDP,FZD4
67,P01138,P04629,ENSG00000134259,ENSG00000198400,NGF,NTRK1
68,P05112,P24394,ENSG00000113520,ENSG00000077238,IL4,IL4R
69,Q8N474,O60353,ENSG00000104332,ENSG00000164930,SFRP1,FZD6
70,P01135,P00533,ENSG00000163235,ENSG00000146648,TGFA,EGFR
71,O00587,Q04721,ENSG00000100060,ENSG00000134250,MFNG,NOTCH2
72,P02778,P49682,ENSG00000169245,ENSG00000186810,CXCL10,CXCR3
73,P09919,Q99062,ENSG00000108342,ENSG00000119535,CSF3,CSF3R
74,P04141,P15509,ENSG00000164400,ENSG00000292357,CSF2,CSF2RA
75,P04141,P15509,ENSG00000164400,ENSG00000198223,CSF2,CSF2RA
76,P14210,P08581,ENSG00000019991,ENSG00000105976,HGF,MET
77,P01375,P20333,ENSG00000204490,ENSG00000028137,TNF,TNFRSF1B
78,P01375,P20333,ENSG00000230108,ENSG00000028137,TNF,TNFRSF1B
79,P01375,P20333,ENSG00000228849,ENSG00000028137,TNF,TNFRSF1B
80,P01375,P20333,ENSG00000206439,ENSG00000028137,TNF,TNFRSF1B
81,P01375,P20333,ENSG00000232810,ENSG00000028137,TNF,TNFRSF1B
82,P01375,P20333,ENSG00000228321,ENSG00000028137,TNF,TNFRSF1B
83,P01375,P20333,ENSG00000223952,ENSG00000028137,TNF,TNFRSF1B
84,P01308,P06213,ENSG00000254647,ENSG00000171105,INS,INSR
85,P41273,Q07011,ENSG00000125657,ENSG00000049249,TNFSF9,TNFRSF9
86,P26842,P32970,ENSG00000139193,ENSG00000125726,CD27,CD70
87,P32970,P26842,ENSG00000125726,ENSG00000139193,CD70,CD27
88,P48023,P25445,ENSG00000117560,ENSG00000026103,FASLG,FAS
89,P50591,Q9UBN6,ENSG00000121858,ENSG00000173530,TNFSF10,TNFRSF10D
90,P50591,O14763,ENSG00000121858,ENSG00000120889,TNFSF10,TNFRSF10B
91,O00220,P50591,ENSG00000104689,ENSG00000121858,TNFRSF10A,TNFSF10
92,P50591,O00220,ENSG00000121858,ENSG00000104689,TNFSF10,TNFRSF10A
93,P01375,P19438,ENSG00000204490,ENSG00000067182,TNF,TNFRSF1A
94,P01375,P19438,ENSG00000230108,ENSG00000067182,TNF,TNFRSF1A
95,P01375,P19438,ENSG00000228849,ENSG00000067182,TNF,TNFRSF1A
96,P01375,P19438,ENSG00000206439,ENSG00000067182,TNF,TNFRSF1A
97,P01375,P19438,ENSG00000232810,ENSG00000067182,TNF,TNFRSF1A
98,P01375,P19438,ENSG00000228321,ENSG00000067182,TNF,TNFRSF1A
99,P01375,P19438,ENSG00000223952,ENSG00000067182,TNF,TNFRSF1A
100,Q15465,Q13635,ENSG00000164690,ENSG00000185920,SHH,PTCH1
101,O43323,Q13635,ENSG00000139549,ENSG00000185920,DHH,PTCH1
102,Q14623,Q13635,ENSG00000163501,ENSG00000185920,IHH,PTCH1
103,P01148,P30968,ENSG00000147437,ENSG00000109163,GNRH1,GNRHR
104,P41221,Q01974,ENSG00000114251,ENSG00000169071,WNT5A,ROR2
105,O00182,Q8TDQ0,ENSG00000168961,ENSG00000135077,LGALS9,HAVCR2
106,P78504,Q04721,ENSG00000101384,ENSG00000134250,JAG1,NOTCH2
107,Q04721,P78504,ENSG00000134250,ENSG00000101384,NOTCH2,JAG1
108,P78504,Q9UM47,ENSG00000101384,ENSG00000074181,JAG1,NOTCH3
109,Q9UM47,P78504,ENSG00000074181,ENSG00000101384,NOTCH3,JAG1
110,P01137,P37023,ENSG00000105329,ENSG00000139567,TGFB1,ACVRL1
111,Q15465,Q9Y6C5,ENSG00000164690,ENSG00000117425,SHH,PTCH2
112,P56705,O60353,ENSG00000162552,ENSG00000164930,WNT4,FZD6
113,Q04721,Q9Y219,ENSG00000134250,ENSG00000184916,NOTCH2,JAG2
114,Q9Y219,Q04721,ENSG00000184916,ENSG00000134250,JAG2,NOTCH2
115,Q9UM47,Q9Y219,ENSG00000074181,ENSG00000184916,NOTCH3,JAG2
116,Q9Y219,Q9UM47,ENSG00000184916,ENSG00000074181,JAG2,NOTCH3
117,P04628,O75581,ENSG00000125084,ENSG00000070018,WNT1,LRP6
118,P04628,O75581,ENSG00000125084,ENSG00000281324,WNT1,LRP6
119,P04628,P34925,ENSG00000125084,ENSG00000163785,WNT1,RYK
120,P05231,P08887,ENSG00000136244,ENSG00000160712,IL6,IL6R
121,P10600,P37173,ENSG00000119699,ENSG00000163513,TGFB3,TGFBR2
122,P10600,Q03167,ENSG00000119699,ENSG00000069702,TGFB3,TGFBR3
123,P61812,Q03167,ENSG00000092969,ENSG00000069702,TGFB2,TGFBR3
124,P61812,P37173,ENSG00000092969,ENSG00000163513,TGFB2,TGFBR2
125,P61812,P36897,ENSG00000092969,ENSG00000106799,TGFB2,TGFBR1
126,P56704,P34925,ENSG00000154342,ENSG00000163785,WNT3A,RYK
127,O14625,P49682,ENSG00000169248,ENSG00000186810,CXCL11,CXCR3
128,O94907,Q96MU8,ENSG00000107984,ENSG00000183762,DKK1,KREMEN1
129,P56704,Q9UP38,ENSG00000154342,ENSG00000157240,WNT3A,FZD1
130,P09544,Q9UP38,ENSG00000105989,ENSG00000157240,WNT2,FZD1
131,P56703,Q9UP38,ENSG00000277626,ENSG00000157240,WNT3,FZD1
132,P56703,Q9UP38,ENSG00000277641,ENSG00000157240,WNT3,FZD1
133,P56703,Q9UP38,ENSG00000108379,ENSG00000157240,WNT3,FZD1
134,P41221,Q9UP38,ENSG00000114251,ENSG00000157240,WNT5A,FZD1
135,P18085,P00533,ENSG00000168374,ENSG00000146648,ARF4,EGFR
136,O94907,Q8NCW0,ENSG00000107984,ENSG00000131650,DKK1,KREMEN2
137,P34925,Q9H461,ENSG00000163785,ENSG00000177283,RYK,FZD8
138,P16410,P33681,ENSG00000163599,ENSG00000121594,CTLA4,CD80
139,P33681,P16410,ENSG00000121594,ENSG00000163599,CD80,CTLA4
140,P49768,P46531,ENSG00000080815,ENSG00000148400,PSEN1,NOTCH1
141,P18510,P14778,ENSG00000136689,ENSG00000115594,IL1RN,IL1R1
142,O00755,Q13467,ENSG00000154764,ENSG00000163251,WNT7A,FZD5
143,P49768,Q9UM47,ENSG00000080815,ENSG00000074181,PSEN1,NOTCH3
144,P60568,P31785,ENSG00000109471,ENSG00000147168,IL2,IL2RG
145,P60568,P14784,ENSG00000109471,ENSG00000100385,IL2,IL2RB
146,P60568,P01589,ENSG00000109471,ENSG00000134460,IL2,IL2RA
147,O43323,Q9Y6C5,ENSG00000139549,ENSG00000117425,DHH,PTCH2
148,P49768,Q04721,ENSG00000080815,ENSG00000134250,PSEN1,NOTCH2
149,Q9UIW2,P46531,ENSG00000114554,ENSG00000148400,PLXNA1,NOTCH1
150,P48745,P46531,ENSG00000136999,ENSG00000148400,CCN3,NOTCH1
151,P08700,P32927,ENSG00000164399,ENSG00000100368,IL3,CSF2RB
152,Q01974,Q13467,ENSG00000169071,ENSG00000163251,ROR2,FZD5
153,P56704,O75581,ENSG00000154342,ENSG00000070018,WNT3A,LRP6
154,P56704,O75581,ENSG00000154342,ENSG00000281324,WNT3A,LRP6
155,Q12860,Q04721,ENSG00000018236,ENSG00000134250,CNTN1,NOTCH2
156,Q12860,P46531,ENSG00000018236,ENSG00000148400,CNTN1,NOTCH1
157,P18510,P27930,ENSG00000136689,ENSG00000115590,IL1RN,IL1R2
158,P05113,Q01344,ENSG00000113525,ENSG00000091181,IL5,IL5RA
159,P15248,P31785,ENSG00000145839,ENSG00000147168,IL9,IL2RG
160,P16410,P42081,ENSG00000163599,ENSG00000114013,CTLA4,CD86
161,P42081,P16410,ENSG00000114013,ENSG00000163599,CD86,CTLA4
162,Q14623,Q9Y6C5,ENSG00000163501,ENSG00000117425,IHH,PTCH2
163,P01584,P27930,ENSG00000125538,ENSG00000115590,IL1B,IL1R2
164,P01138,P08138,ENSG00000134259,ENSG00000064300,NGF,NGFR
165,Q01974,Q14332,ENSG00000169071,ENSG00000180340,ROR2,FZD2
166,P08700,P26951,ENSG00000164399,ENSG00000292332,IL3,IL3RA
167,P08700,P26951,ENSG00000164399,ENSG00000185291,IL3,IL3RA
168,P13232,P16871,ENSG00000104432,ENSG00000168685,IL7,IL7R
169,P49768,Q99466,ENSG00000080815,ENSG00000234876,PSEN1,NOTCH4
170,P49768,Q99466,ENSG00000080815,ENSG00000204301,PSEN1,NOTCH4
171,P49768,Q99466,ENSG00000080815,ENSG00000223355,PSEN1,NOTCH4
172,P49768,Q99466,ENSG00000080815,ENSG00000238196,PSEN1,NOTCH4
173,O75144,Q9Y6W8,ENSG00000160223,ENSG00000163600,ICOSLG,ICOS
174,P01583,P27930,ENSG00000115008,ENSG00000115590,IL1A,IL1R2
175,P04628,O75197,ENSG00000125084,ENSG00000162337,WNT1,LRP5
176,P01137,P37173,ENSG00000105329,ENSG00000163513,TGFB1,TGFBR2
177,P01137,Q03167,ENSG00000105329,ENSG00000069702,TGFB1,TGFBR3
178,P01137,P36897,ENSG00000105329,ENSG00000106799,TGFB1,TGFBR1
179,P15248,Q01113,ENSG00000145839,ENSG00000124334,IL9,IL9R
180,P15248,Q01113,ENSG00000145839,ENSG00000292373,IL9,IL9R
181,O00548,Q04721,ENSG00000275555,ENSG00000134250,DLL1,NOTCH2
182,O00548,Q04721,ENSG00000198719,ENSG00000134250,DLL1,NOTCH2
183,O00548,Q9UM47,ENSG00000275555,ENSG00000074181,DLL1,NOTCH3
184,O00548,Q9UM47,ENSG00000198719,ENSG00000074181,DLL1,NOTCH3
185,Q99466,Q9NR61,ENSG00000234876,ENSG00000128917,NOTCH4,DLL4
186,Q99466,Q9NR61,ENSG00000204301,ENSG00000128917,NOTCH4,DLL4
187,Q99466,Q9NR61,ENSG00000223355,ENSG00000128917,NOTCH4,DLL4
188,Q99466,Q9NR61,ENSG00000238196,ENSG00000128917,NOTCH4,DLL4
189,Q9NR61,Q99466,ENSG00000128917,ENSG00000234876,DLL4,NOTCH4
190,Q9NR61,Q99466,ENSG00000128917,ENSG00000204301,DLL4,NOTCH4
191,Q9NR61,Q99466,ENSG00000128917,ENSG00000223355,DLL4,NOTCH4
192,Q9NR61,Q99466,ENSG00000128917,ENSG00000238196,DLL4,NOTCH4
193,P01584,P14778,ENSG00000125538,ENSG00000115594,IL1B,IL1R1
194,P15018,P42702,ENSG00000128342,ENSG00000113594,LIF,LIFR
195,P35225,P78552,ENSG00000169194,ENSG00000131724,IL13,IL13RA1
196,P35225,Q14627,ENSG00000169194,ENSG00000123496,IL13,IL13RA2
197,P12643,Q13873,ENSG00000125845,ENSG00000204217,BMP2,BMPR2
198,P43026,Q13873,ENSG00000125965,ENSG00000204217,GDF5,BMPR2
199,P01236,P16471,ENSG00000172179,ENSG00000113494,PRL,PRLR
200,P01241,P16471,ENSG00000259384,ENSG00000113494,GH1,PRLR
201,P01241,P10912,ENSG00000259384,ENSG00000112964,GH1,GHR
202,P01579,P38484,ENSG00000111537,ENSG00000159128,IFNG,IFNGR2
203,P01579,P38484,ENSG00000111537,ENSG00000262795,IFNG,IFNGR2
204,Q969D9,Q9HC73,ENSG00000145777,ENSG00000292363,TSLP,CRLF2
205,Q969D9,Q9HC73,ENSG00000145777,ENSG00000205755,TSLP,CRLF2
206,P01308,P08069,ENSG00000254647,ENSG00000140443,INS,IGF1R
207,P29459,P42701,ENSG00000168811,ENSG00000096996,IL12A,IL12RB1
208,P01562,P17181,ENSG00000233816,ENSG00000142166,IFNA13,IFNAR1
209,P01562,P17181,ENSG00000197919,ENSG00000142166,IFNA1,IFNAR1
210,P01574,P17181,ENSG00000171855,ENSG00000142166,IFNB1,IFNAR1
211,P01562,P48551,ENSG00000233816,ENSG00000159110,IFNA13,IFNAR2
212,P01562,P48551,ENSG00000197919,ENSG00000159110,IFNA1,IFNAR2
213,P01574,P48551,ENSG00000171855,ENSG00000159110,IFNB1,IFNAR2
214,P40933,Q13261,ENSG00000164136,ENSG00000134470,IL15,IL15RA
215,P56975,Q15303,ENSG00000185737,ENSG00000178568,NRG3,ERBB4
216,Q02297,Q15303,ENSG00000157168,ENSG00000178568,NRG1,ERBB4
217,Q92765,P04628,ENSG00000162998,ENSG00000125084,FRZB,WNT1
218,Q15465,Q96QV1,ENSG00000164690,ENSG00000164161,SHH,HHIP
219,P00533,P15514,ENSG00000146648,ENSG00000109321,EGFR,AREG
220,P15514,P00533,ENSG00000109321,ENSG00000146648,AREG,EGFR
221,Q99075,P00533,ENSG00000113070,ENSG00000146648,HBEGF,EGFR
222,Q8WWG1,Q15303,ENSG00000169752,ENSG00000178568,NRG4,ERBB4
223,Q9NYJ7,P46531,ENSG00000090932,ENSG00000148400,DLL3,NOTCH1
224,P41221,Q9ULV1,ENSG00000114251,ENSG00000174804,WNT5A,FZD4
225,Q9NPF7,P42701,ENSG00000110944,ENSG00000096996,IL23A,IL12RB1
226,Q9NR61,P46531,ENSG00000128917,ENSG00000148400,DLL4,NOTCH1
227,Q15465,P98164,ENSG00000164690,ENSG00000081479,SHH,LRP2
228,Q9NPF7,Q5VWK5,ENSG00000110944,ENSG00000162594,IL23A,IL23R
229,P49768,Q92542,ENSG00000080815,ENSG00000162736,PSEN1,NCSTN
230,Q96JA1,P00533,ENSG00000144749,ENSG00000146648,LRIG1,EGFR
231,Q6EBC2,Q99650,ENSG00000204671,ENSG00000145623,IL31,OSMR
232,P13725,Q99650,ENSG00000099985,ENSG00000145623,OSM,OSMR
233,Q9HBE4,Q9HBE5,ENSG00000138684,ENSG00000103522,IL21,IL21R
234,P03971,Q16671,ENSG00000104899,ENSG00000135409,AMH,AMHR2
235,P08476,Q13705,ENSG00000122641,ENSG00000114739,INHBA,ACVR2B
236,P18075,Q13705,ENSG00000101144,ENSG00000114739,BMP7,ACVR2B
237,P22004,Q13705,ENSG00000153162,ENSG00000114739,BMP6,ACVR2B
238,P12643,Q13705,ENSG00000125845,ENSG00000114739,BMP2,ACVR2B
239,P18075,Q13873,ENSG00000101144,ENSG00000204217,BMP7,BMPR2
240,P22004,Q13873,ENSG00000153162,ENSG00000204217,BMP6,BMPR2
241,Q6KF10,Q13873,ENSG00000156466,ENSG00000204217,GDF6,BMPR2
242,P12644,Q13873,ENSG00000125378,ENSG00000204217,BMP4,BMPR2
243,Q15465,Q9BWV1,ENSG00000164690,ENSG00000144857,SHH,BOC
244,Q9NYY1,Q8N6P7,ENSG00000162891,ENSG00000142677,IL20,IL22RA1
245,Q13007,Q8N6P7,ENSG00000162892,ENSG00000142677,IL24,IL22RA1
246,Q9NPH9,Q9UHF4,ENSG00000111536,ENSG00000016402,IL26,IL20RA
247,Q9UHD0,Q9UHF4,ENSG00000142224,ENSG00000016402,IL19,IL20RA
248,Q9NYY1,Q9UHF4,ENSG00000162891,ENSG00000016402,IL20,IL20RA
249,Q13007,Q9UHF4,ENSG00000162892,ENSG00000016402,IL24,IL20RA
250,Q8NEV9,Q6UWB1,ENSG00000197272,ENSG00000104998,IL27,IL27RA
251,Q8NEV9,Q6UWB1,ENSG00000197272,ENSG00000288185,IL27,IL27RA
252,Q13361,P46531,ENSG00000197614,ENSG00000148400,MFAP5,NOTCH1
253,Q16619,P40189,ENSG00000150281,ENSG00000134352,CTF1,IL6ST
254,Q9NYA4,P84022,ENSG00000108389,ENSG00000166949,MTMR4,SMAD3
255,Q9NRA1,P16234,ENSG00000145431,ENSG00000134853,PDGFC,PDGFRA
256,Q9NRA1,P09619,ENSG00000145431,ENSG00000113721,PDGFC,PDGFRB
257,P04085,P16234,ENSG00000197461,ENSG00000134853,PDGFA,PDGFRA
258,P01127,P16234,ENSG00000100311,ENSG00000134853,PDGFB,PDGFRA
259,P05230,P11362,ENSG00000113578,ENSG00000077782,FGF1,FGFR1
260,P05230,P21802,ENSG00000113578,ENSG00000066468,FGF1,FGFR2
261,P09038,P21802,ENSG00000138685,ENSG00000066468,FGF2,FGFR2
262,P11487,P21802,ENSG00000186895,ENSG00000066468,FGF3,FGFR2
263,P08620,P21802,ENSG00000075388,ENSG00000066468,FGF4,FGFR2
264,P21781,P21802,ENSG00000140285,ENSG00000066468,FGF7,FGFR2
265,P55075,P21802,ENSG00000107831,ENSG00000066468,FGF8,FGFR2
266,O15520,P21802,ENSG00000070193,ENSG00000066468,FGF10,FGFR2
267,P49765,P17948,ENSG00000173511,ENSG00000102755,VEGFB,FLT1
268,P20827,P21709,ENSG00000169242,ENSG00000284816,EFNA1,EPHA1
269,P20827,P21709,ENSG00000169242,ENSG00000146904,EFNA1,EPHA1
270,O43921,P29317,ENSG00000099617,ENSG00000142627,EFNA2,EPHA2
271,P52803,P54756,ENSG00000184349,ENSG00000145242,EFNA5,EPHA5
272,P54753,Q15768,ENSG00000182580,ENSG00000108947,EPHB3,EFNB3
273,Q15768,P54753,ENSG00000108947,ENSG00000182580,EFNB3,EPHB3
274,P20827,Q9UF33,ENSG00000169242,ENSG00000080224,EFNA1,EPHA6
275,O43921,Q9UF33,ENSG00000099617,ENSG00000080224,EFNA2,EPHA6
276,Q9UF33,O43921,ENSG00000080224,ENSG00000099617,EPHA6,EFNA2
277,P52797,Q9UF33,ENSG00000143590,ENSG00000080224,EFNA3,EPHA6
278,Q9UF33,P52797,ENSG00000080224,ENSG00000143590,EPHA6,EFNA3
279,P52798,Q9UF33,ENSG00000243364,ENSG00000080224,EFNA4,EPHA6
280,Q9UF33,P52798,ENSG00000080224,ENSG00000243364,EPHA6,EFNA4
281,P52803,Q9UF33,ENSG00000184349,ENSG00000080224,EFNA5,EPHA6
282,Q9UF33,P52803,ENSG00000080224,ENSG00000184349,EPHA6,EFNA5
283,P52803,Q15375,ENSG00000184349,ENSG00000135333,EFNA5,EPHA7
284,Q15375,P52803,ENSG00000135333,ENSG00000184349,EPHA7,EFNA5
285,P20827,P29322,ENSG00000169242,ENSG00000070886,EFNA1,EPHA8
286,P20827,P54764,ENSG00000169242,ENSG00000116106,EFNA1,EPHA4
287,P52803,P54764,ENSG00000184349,ENSG00000116106,EFNA5,EPHA4
288,P20827,P29317,ENSG00000169242,ENSG00000142627,EFNA1,EPHA2
289,P20827,P29320,ENSG00000169242,ENSG00000044524,EFNA1,EPHA3
290,P29320,P52803,ENSG00000044524,ENSG00000184349,EPHA3,EFNA5
291,P52803,P29320,ENSG00000184349,ENSG00000044524,EFNA5,EPHA3
292,P20827,P54756,ENSG00000169242,ENSG00000145242,EFNA1,EPHA5
293,P52799,P54760,ENSG00000125266,ENSG00000196411,EFNB2,EPHB4
294,O15123,Q02763,ENSG00000091879,ENSG00000120156,ANGPT2,TEK
295,Q15389,Q02763,ENSG00000154188,ENSG00000120156,ANGPT1,TEK
296,Q9Y264,Q02763,ENSG00000101280,ENSG00000120156,ANGPT4,TEK
297,O00468,O15146,ENSG00000188157,ENSG00000030304,AGRN,MUSK
298,Q14393,P30530,ENSG00000183087,ENSG00000167601,GAS6,AXL
299,Q14393,Q12866,ENSG00000183087,ENSG00000153208,GAS6,MERTK
300,P39905,P07949,ENSG00000168621,ENSG00000165731,GDNF,RET
301,Q9NPH9,Q08334,ENSG00000111536,ENSG00000243646,IL26,IL10RB
302,P40225,P40238,ENSG00000090534,ENSG00000117400,THPO,MPL
303,P26441,P26992,ENSG00000242689,ENSG00000122756,CNTF,CNTFR
304,O14511,P21860,ENSG00000158458,ENSG00000065361,NRG2,ERBB3
305,O14511,Q15303,ENSG00000158458,ENSG00000178568,NRG2,ERBB4
306,P41159,P48357,ENSG00000174697,ENSG00000116678,LEP,LEPR
307,Q02297,P21860,ENSG00000157168,ENSG00000065361,NRG1,ERBB3
308,Q92765,Q9H1J5,ENSG00000162998,ENSG00000061492,FRZB,WNT8A
309,O43323,Q96QV1,ENSG00000139549,ENSG00000164161,DHH,HHIP
310,Q14623,Q96QV1,ENSG00000163501,ENSG00000164161,IHH,HHIP
311,Q9Y5W5,Q9H1J5,ENSG00000156076,ENSG00000061492,WIF1,WNT8A
312,P35070,P00533,ENSG00000174808,ENSG00000146648,BTC,EGFR
313,P35070,Q15303,ENSG00000174808,ENSG00000178568,BTC,ERBB4
314,Q99075,Q15303,ENSG00000113070,ENSG00000178568,HBEGF,ERBB4
315,P34820,P36894,ENSG00000116985,ENSG00000107779,BMP8B,BMPR1A
316,P34820,Q04771,ENSG00000116985,ENSG00000115170,BMP8B,ACVR1
317,P09919,P15509,ENSG00000108342,ENSG00000292357,CSF3,CSF2RA
318,P09919,P15509,ENSG00000108342,ENSG00000198223,CSF3,CSF2RA
319,P01133,P04626,ENSG00000138798,ENSG00000141736,EGF,ERBB2
320,P04626,P01133,ENSG00000141736,ENSG00000138798,ERBB2,EGF
321,Q9NYJ7,Q04721,ENSG00000090932,ENSG00000134250,DLL3,NOTCH2
322,P09544,O00144,ENSG00000105989,ENSG00000188763,WNT2,FZD9
323,P20809,Q14626,ENSG00000095752,ENSG00000137070,IL11,IL11RA
324,Q6EBC2,Q8NI17,ENSG00000204671,ENSG00000164509,IL31,IL31RA
325,O95390,Q13705,ENSG00000135414,ENSG00000114739,GDF11,ACVR2B
326,Q96S42,Q13705,ENSG00000156574,ENSG00000114739,NODAL,ACVR2B
327,P43026,Q13705,ENSG00000125965,ENSG00000114739,GDF5,ACVR2B
328,O95972,Q13873,ENSG00000130385,ENSG00000204217,BMP15,BMPR2
329,P04141,Q99062,ENSG00000164400,ENSG00000119535,CSF2,CSF3R
330,Q9P0W0,P17181,ENSG00000147896,ENSG00000142166,IFNK,IFNAR1
331,Q8IU54,Q08334,ENSG00000182393,ENSG00000243646,IFNL1,IL10RB
332,Q8IU54,Q08334,ENSG00000291872,ENSG00000243646,IFNL1,IL10RB
333,Q8IZJ0,Q08334,ENSG00000183709,ENSG00000243646,IFNL2,IL10RB
334,Q8IZJ0,Q08334,ENSG00000291875,ENSG00000243646,IFNL2,IL10RB
335,Q8IZI9,Q08334,ENSG00000291876,ENSG00000243646,IFNL3,IL10RB
336,Q8IZI9,Q08334,ENSG00000197110,ENSG00000243646,IFNL3,IL10RB
337,P22301,Q08334,ENSG00000136634,ENSG00000243646,IL10,IL10RB
338,Q9P0W0,P48551,ENSG00000147896,ENSG00000159110,IFNK,IFNAR2
339,Q8IU54,Q8IU57,ENSG00000182393,ENSG00000185436,IFNL1,IFNLR1
340,Q8IU54,Q8IU57,ENSG00000291872,ENSG00000185436,IFNL1,IFNLR1
341,Q8IZJ0,Q8IU57,ENSG00000183709,ENSG00000185436,IFNL2,IFNLR1
